,Fermented Food,Location,Description,Microbial Profile,Associated Scents,Emotional Landscape
1,Gochujang,Seoul,A district where this Korean chili paste is celebrated in culinary arts.,"Lactic acid bacteria, fungi.","Spicy, sweet, umami.","Warm, exhilarating."
2,Natto,Tokyo,"A small community known for its love for the sticky, nutritious soybeans.",Bacillus subtilis.,"Pungent, nutty.","Comforting, unique."
3,Miso,Kyoto,A marketplace where miso's versatility is showcased in various dishes.,"Aspergillus oryzae, yeasts.","Savory, rich, salty.","Nourishing, familiar."
4,Sourdough,San Francisco,An area famous for its sourdough bread and baking culture.,"Wild yeast, lactobacilli.","Tangy, yeasty, warm.","Cozy, artisanal."
5,Kefir,Sacramento,A courtyard where people enjoy the health benefits of this fermented milk.,"Lactobacilli, yeasts.","Creamy, sour.","Invigorating, healthful."
6,Kombucha,Haymarket,A strip of trendy shops serving a variety of kombucha flavors.,SCOBY (bacteria and yeast).,"Fruity, vinegary, effervescent.","Refreshing, chic."
7,Curtido,La Popusa Urban Eatery,A corner where Salvadorian cuisine and its fermented slaw are mainstays.,Lactic acid bacteria.,"Spicy, tangy, crisp.","Lively, vibrant."
8,Kvass,Moscow,An alley lined with kiosks selling traditional Russian fermented rye bread drink.,"Lactobacillus, Leuconostoc.","Malty, tangy.","Quaint, refreshing."
9,Crème Fraiche,Paris,A bistro / cafe offering dishes featuring this cultured cream.,Lactic acid bacteria.,"Creamy, buttery.","Luxurious, creamy."
10,Tempeh,Jakarta,A terrace famous for its variety of tempeh-based vegan cuisine.,Rhizopus oligosporus.,"Nutty, earthy.","Satisfying, ethical."
11,Nem Chua,Ho Chi Minh City,A snug eatery known for Vietnamese fermented pork rolls.,Lactic acid bacteria.,"Sour, meaty, spicy.","Adventurous, tangy."
12,Appam,Sri Lanka,An avenue where the South Indian fermented pancake is a breakfast staple.,"Wild yeast, bacteria.","Sweet, yeasty.","Welcoming, warm."
13,Atchara,Manila,An alley where Philippine pickle traditions are kept alive.,Lactic acid bacteria.,"Sweet, tangy, crisp.","Joyful, sunny."
14,Balao-balao,Fillipino Festival,A bazaar where this Filipino rice and shrimp fermentation is sold.,"Lactic acid bacteria, yeasts.","Fishy, tangy.","Bold, traditional."
15,Jalebi,Mumbai,A junction where the sweet fermented batter of Jalebi is a festival treat.,Wild yeast.,"Sweet, tangy.","Festive, joyous."
16,Sauerkraut,Berlin,A street famous for its German cuisine and sauerkraut.,"Leuconostoc, Lactobacillus.","Sour, earthy.","Hearty, traditional."
17,Doubanjian,Chengdu,A district that celebrates Sichuan cuisine and its spicy bean paste.,"Lactic acid bacteria, fungi.","Spicy, savory, umami.","Exciting, bold."
18,Bors,Saint Petersburg,A boulevard where the Eastern European beet soup is a cultural icon.,Lactic acid bacteria.,"Earthy, sour.","Nostalgic, comforting."
19,Injera,Ethiopia,An intersection where the Ethiopian staple is served with every meal.,"Wild yeast, lactic acid bacteria.","Slightly sour, earthy.","Communal, exotic."
20,Worcestershire Sauce,Central England,A pathway known for the historic Worcestershire sauce production.,"Lactic acid bacteria, molds.","Tangy, savory, umami.","Sophisticated, savory."
